#REFERENCE 3 47.2332780 26.7604953
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
   1.3   -21.193     6.761    22.245       nan       nan     2.389     0.023      0.95  -37754.8       0.0    +-
   1.3    -1.113     0.164     1.125       nan       nan     0.109     0.004     -2.40  -30936.2    6818.6    --
   1.3    19.090   -32.710    37.873       nan       nan     6.139     0.134      1.97  -56354.0  -18599.2    ++
   1.3    30.242   -20.164    36.348       nan       nan     3.862     0.055      1.47  -55688.6  -17933.8    +-
   1.3    35.320    19.759    40.471       nan       nan     3.311     0.036      1.30  -62665.1  -24910.3    ++
   1.2   -13.953    -0.337    13.957       nan       nan     1.892     0.021      0.69  -26313.8   11441.0    +-
   1.2    -4.404    -0.566     4.440       nan       nan     0.358     0.006     -1.11  -25570.4   12184.4    --
   1.2    43.186    19.773    47.497       nan       nan     2.536     0.017      1.01  -76527.3  -38772.5    ++
   1.1   -16.050    -0.707    16.065       nan       nan     1.797     0.012      0.64  -28334.4    9420.4    +-
   1.1    -3.593    -0.725     3.665       nan       nan     0.251     0.005     -1.50  -26814.2   10940.6    --
   1.1    41.382    21.495    46.631       nan       nan     2.558     0.019      1.02  -75105.2  -37350.4    ++
   K2c   -24.468    15.994    29.232       nan       nan     3.189     0.033      1.26  -46891.5       0.0    +-
   K2c    -7.537   -41.068    41.753       nan       nan     4.585     0.020      1.65  -60912.6  -14021.1    ++
   K2c     0.430     0.453     0.624       nan       nan     0.068     0.002     -2.92  -32425.9   14465.6    --
   K2c    27.509    27.316    38.768       nan       nan     4.594     0.071      1.66  -57231.8  -10340.3    ++
   K2c    32.089   -13.390    34.771       nan       nan     2.701     0.029      1.08  -51621.1   -4729.6    +-
   K2b   -23.032    18.027    29.249       nan       nan     3.641     0.050      1.40  -46314.2     577.3    +-
   K2b    -8.113   -41.878    42.657       nan       nan     4.264     0.017      1.57  -62715.0  -15823.4    ++
   K2b     0.508     0.663     0.836       nan       nan     0.064     0.001     -2.99  -32265.2   14626.3    --
   K2b    28.244    25.271    37.899       nan       nan     6.311     0.092      2.00  -55581.0   -8689.5    ++
   K2b    32.916   -11.543    34.881       nan       nan     3.128     0.033      1.24  -51627.2   -4735.7    +-
   K2a   -24.859    15.900    29.509       nan       nan     3.188     0.031      1.26  -47438.7    -547.1    +-
   K2a    -8.476   -40.728    41.601       nan       nan     4.729     0.022      1.69  -60592.0  -13700.5    ++
   K2a     0.478     0.400     0.623       nan       nan     0.068     0.002     -2.92  -32502.9   14388.6    --
   K2a    26.670    28.160    38.785       nan       nan     4.561     0.075      1.65  -57332.6  -10441.1    ++
   K2a    31.696   -13.524    34.460       nan       nan     2.640     0.029      1.05  -51175.8   -4284.3    +-
   K1c   -24.568    14.961    28.765       nan       nan     3.071     0.034      1.22  -46235.7       0.0    +-
   K1c    -5.566   -41.097    41.472       nan       nan     4.654     0.020      1.67  -60409.3  -14173.6    ++
   K1c     0.300     0.413     0.511       nan       nan     0.070     0.002     -2.89  -32361.1   13874.7    --
   K1c    28.549    26.914    39.236       nan       nan     4.464     0.058      1.62  -58084.4  -11848.7    ++
   K1c    32.278   -14.164    35.249       nan       nan     2.533     0.029      1.01  -52342.0   -6106.2    +-
   K1b   -24.412    15.366    28.845       nan       nan     3.100     0.034      1.23  -46307.5     -71.8    +-
   K1b    -6.015   -41.192    41.629       nan       nan     4.586     0.020      1.65  -60698.6  -14462.8    ++
   K1b     0.333     0.444     0.555       nan       nan     0.069     0.002     -2.90  -32360.3   13875.5    --
   K1b    28.421    26.786    39.055       nan       nan     4.569     0.061      1.65  -57741.3  -11505.6    ++
   K1b    32.334   -13.839    35.171       nan       nan     2.621     0.030      1.05  -52220.1   -5984.3    +-
