#REFERENCE 3 47.2332780 26.7604953
1.3 6.115 0.360 0.197 0.059 21.42 1.270 1.83 -1.849 -0.170 -0.60 2.43
1.3 6.115 0.360 0.197 0.059 21.42 1.270 1.83 -18.737 0.038 1.65 0.18
1.3 6.115 0.360 0.197 0.059 21.42 1.270 1.83 35.320 19.759 1.83 -0.00
1.2 7.404 0.802 0.389 0.103 96.43 1.270 0.49 36.973 20.184 1.70 -1.21
1.2 7.404 0.802 0.389 0.103 96.43 1.270 0.49 -14.728 -1.198 1.93 -1.44
1.2 7.404 0.802 0.389 0.103 96.43 1.270 0.49 -4.404 -0.566 0.49 -0.00
1.1 6.999 0.505 0.151 0.084 90.11 1.270 1.74 36.607 19.463 1.75 -0.01
1.1 6.999 0.505 0.151 0.084 90.11 1.270 1.74 -3.475 -0.324 0.11 1.63
1.1 6.999 0.505 0.151 0.084 90.11 1.270 1.74 -16.050 -0.707 1.74 0.00
10.1b 3.458 0.542 0.187 0.066 169.75 1.792 1.76 31.157 30.659 1.93 -0.17
10.1b 3.458 0.542 0.187 0.066 169.75 1.792 1.76 -0.047 -0.012 -8.02 9.77
10.1b 3.458 0.542 0.187 0.066 169.75 1.792 1.76 -27.017 2.973 1.76 -0.00
10.1a 3.374 0.790 0.194 0.057 44.30 1.792 1.88 -27.328 2.136 1.77 0.11
10.1a 3.374 0.790 0.194 0.057 44.30 1.792 1.88 -0.045 -0.016 -8.04 9.92
10.1a 3.374 0.790 0.194 0.057 44.30 1.792 1.88 30.527 31.524 1.88 -0.00
B4b 2.253 4.729 0.208 0.066 63.05 1.901 1.65 -0.157 -0.460 -3.12 4.77
B4b 2.253 4.729 0.208 0.066 63.05 1.901 1.65 -9.532 -28.357 2.12 -0.47
B4b 2.253 4.729 0.208 0.066 63.05 1.901 1.65 22.228 42.511 1.65 0.00
B4a 2.042 4.834 0.149 0.052 70.54 1.901 2.28 -0.144 -0.488 -3.04 5.32
B4a 2.042 4.834 0.149 0.052 70.54 1.901 2.28 21.425 42.907 1.65 0.63
B4a 2.042 4.834 0.149 0.052 70.54 1.901 2.28 -8.531 -28.643 2.28 0.00
B3b 2.075 4.552 0.208 0.065 63.58 1.901 1.67 -0.108 -0.343 -3.69 5.36
B3b 2.075 4.552 0.208 0.065 63.58 1.901 1.67 -9.199 -28.855 2.07 -0.40
B3b 2.075 4.552 0.208 0.065 63.58 1.901 1.67 21.826 42.392 1.67 -0.00
B3a 1.907 4.614 0.145 0.048 69.28 1.901 2.38 -0.098 -0.351 -3.66 6.04
B3a 1.907 4.614 0.145 0.048 69.28 1.901 2.38 21.194 42.675 1.67 0.71
B3a 1.907 4.614 0.145 0.048 69.28 1.901 2.38 -8.435 -29.136 2.38 0.00
B2b 2.133 5.070 0.209 0.067 64.79 1.901 1.62 -0.200 -0.662 -2.56 4.18
B2b 2.133 5.070 0.209 0.067 64.79 1.901 1.62 -8.434 -28.227 2.28 -0.65
