#REFERENCE 0 47.2332780 26.7604953
1.3 47.2338531 26.7604480 0.318768 0.020866 7.66853 1.2700 2.43 
1.3 47.2391071 26.7605058 0.411608 0.128784 140.57095 1.2700 0.18 
1.3 47.2222900 26.7659840 0.250002 0.249999 155.83180 1.2700 -0.00 
1.2 47.2217758 26.7661021 1.482740 0.128816 106.39088 1.2700 -1.21 
1.2 47.2378597 26.7601626 0.654427 0.360059 78.24470 1.2700 -1.44 
1.2 47.2346480 26.7603380 0.250001 0.250000 46.07144 1.2700 -0.00 
1.1 47.2218896 26.7659016 0.589625 0.107474 105.68169 1.2700 -0.01 
1.1 47.2343589 26.7604053 0.169875 0.081992 7.48135 1.2700 1.63 
1.1 47.2382710 26.7602990 0.250000 0.249999 148.35826 1.2700 0.00 
10.1b 47.2235851 26.7690116 0.718222 0.102054 143.15910 1.7920 -0.17 
10.1b 47.2332925 26.7604921 0.005794 0.001329 3.36170 1.7920 9.77 
10.1b 47.2416830 26.7613210 0.250001 0.250000 89.76579 1.7920 -0.00 
10.1a 47.2417797 26.7610886 0.625864 0.090574 94.04281 1.7920 0.11 
10.1a 47.2332921 26.7604908 0.006258 0.001078 34.50517 1.7920 9.92 
10.1a 47.2237812 26.7692521 0.250000 0.250000 119.65018 1.7920 -0.00 
B4b 47.2333269 26.7603675 0.131845 0.005872 69.73359 1.9008 4.77 
B4b 47.2362433 26.7526183 0.386889 0.249064 112.25616 1.9008 -0.47 
B4b 47.2263630 26.7723040 0.250000 0.250000 75.53428 1.9008 0.00 
B4a 47.2333228 26.7603598 0.097649 0.004760 72.78430 1.9008 5.32 
B4a 47.2266126 26.7724140 0.216533 0.161753 123.98848 1.9008 0.63 
B4a 47.2359320 26.7525390 0.249999 0.249996 84.27186 1.9008 0.00 
B3b 47.2333117 26.7604001 0.100837 0.004443 71.01265 1.9008 5.36 
B3b 47.2361397 26.7524801 0.365714 0.247408 102.35437 1.9008 -0.40 
B3b 47.2264880 26.7722710 0.250001 0.250000 123.34128 1.9008 -0.00 
B3a 47.2333085 26.7603978 0.071872 0.003323 73.43880 1.9008 6.04 
B3a 47.2266846 26.7723494 0.202281 0.160995 121.62347 1.9008 0.71 
B3a 47.2359020 26.7524020 0.249999 0.249997 89.12749 1.9008 0.00 
B2b 47.2333402 26.7603113 0.163823 0.008121 71.59647 1.9008 4.18 
B2b 47.2359017 26.7526543 0.394278 0.289059 114.29996 1.9008 -0.65 
B2b 47.2265920 26.7724980 0.250000 0.250000 27.04010 1.9008 0.00 
B2a 47.2333326 26.7603111 0.111482 0.004746 74.36620 1.9008 5.18 
B2a 47.2268021 26.7725708 0.191192 0.132501 106.63841 1.9008 0.98 
B2a 47.2355900 26.7525550 0.249999 0.249991 62.11954 1.9008 0.00 
B1b 47.2333358 26.7603626 0.137875 0.006159 67.44173 1.9018 4.67 
B1b 47.2365511 26.7527140 0.459671 0.258418 126.65468 1.9018 -0.70 
B1b 47.2261220 26.7722170 0.250001 0.250000 151.17004 1.9018 -0.00 
B1a 47.2333308 26.7603503 0.105381 0.005571 71.51007 1.9018 5.07 
B1a 47.2264535 26.7723748 0.238601 0.163327 127.24340 1.9018 0.51 
B1a 47.2361180 26.7526270 0.250001 0.249999 112.34089 1.9018 0.00 
I1c 47.2344386 26.7492278 1.207562 0.094664 179.76066 1.9231 -0.66 
I1c 47.2228398 26.7666016 1.131412 0.096580 122.38448 1.9231 -0.61 
I1c 47.2332819 26.7605045 0.003732 0.001072 136.50435 1.9231 10.48 
I1c 47.2232797 26.7563382 0.418466 0.211050 58.76549 1.9231 -0.38 
I1c 47.2409210 26.7646510 0.250001 0.250000 40.44146 1.9231 -0.00 
I1b 47.2350879 26.7491899 1.293151 0.044905 176.07088 1.9231 0.08 
I1b 47.2230682 26.7667704 1.332074 0.053644 125.24605 1.9231 -0.15 
I1b 47.2237528 26.7676220 1.522977 0.064997 128.34835 1.9231 -0.50 
I1b 47.2236461 26.7674081 0.853714 0.051313 106.05672 1.9231 0.39 
I1b 47.2332805 26.7605045 0.003750 0.000575 142.39553 1.9231 11.16 
I1b 47.2409087 26.7648638 0.295342 0.124414 132.42990 1.9231 0.58 
I1b 47.2232190 26.7566510 0.250002 0.250000 58.96859 1.9231 -0.00 
I1a 47.2232217 26.7566605 1.397924 0.048427 61.86923 1.9231 -0.09 
I1a 47.2230882 26.7667927 1.295654 0.060859 112.33090 1.9231 -0.25 
I1a 47.2237775 26.7676461 1.322304 0.075706 114.45359 1.9231 -0.51 
