#REFERENCE 3 47.2332780 26.7604953
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
   1.3    -1.849    -0.170     1.857     0.991     7.606     0.585     0.019     -0.58  -31114.3       0.0    --
   1.3   -18.737     0.038    18.737     0.822     1.442     4.580     0.107      1.65  -32601.0   -1486.7    +-
   1.3    35.320    19.759    40.471     0.000     0.000     5.358     0.069      1.82  -56991.2  -25876.9    ++
   1.2    36.973    20.184    42.124     0.985     5.712     4.762     0.056      1.69  -59818.4  -28704.2    ++
   1.2   -14.728    -1.198    14.776     0.535     0.634     5.945     0.179      1.94  -30704.3     410.0    +-
   1.2    -4.404    -0.566     4.440     0.000     0.000     1.616     0.063      0.52  -30319.8     794.4    --
   1.1    36.607    19.463    41.459     0.936     2.652     4.995     0.061      1.75  -58743.1  -27628.8    ++
   1.1    -3.475    -0.324     3.490     0.622     0.795     1.133     0.041      0.14  -30613.6     500.6    --
   1.1   -16.050    -0.707    16.065     0.000     0.000     4.982     0.136      1.74  -31290.5    -176.2    +-
 10.1b    31.157    30.659    43.712     0.960     3.448     5.863     0.092      1.92  -57088.7       0.0    ++
 10.1b    -0.047    -0.012     0.048     0.900     2.065     0.001     0.000     -8.07  -32005.2   25083.6    --
 10.1b   -27.017     2.973    27.180     0.000     0.000     5.001     0.091      1.75  -39209.0   17879.7    +-
 10.1a   -27.328     2.136    27.411     0.959     3.383     5.084     0.092      1.77  -39376.6   17712.2    +-
 10.1a    -0.045    -0.016     0.048     0.942     2.816     0.001     0.000     -8.09  -32012.0   25076.8    --
 10.1a    30.527    31.524    43.883     0.000     0.000     5.599     0.088      1.87  -57376.5    -287.7    ++
   B4b    -0.157    -0.460     0.486     0.996    11.204     0.055     0.002     -3.15  -31578.3       0.0    --
   B4b    -9.532   -28.357    29.916     0.414     0.455     7.035     0.160      2.12  -38399.2   -6820.8    +-
   B4b    22.228    42.511    47.972     0.000     0.000     4.531     0.058      1.64  -64022.9  -32444.6    ++
   B4a    -0.144    -0.488     0.509     0.995    10.232     0.059     0.002     -3.07  -31574.7       3.6    --
   B4a    21.425    42.907    47.959     0.284     0.296     4.537     0.058      1.64  -64013.9  -32435.6    ++
   B4a    -8.531   -28.643    29.886     0.000     0.000     8.163     0.180      2.28  -38337.7   -6759.3    +-
   B3b    -0.108    -0.343     0.359     0.996    11.327     0.032     0.002     -3.72  -31648.8       0.0    --
   B3b    -9.199   -28.855    30.286     0.372     0.401     6.743     0.165      2.07  -38829.3   -7180.5    +-
   B3b    21.826    42.392    47.681     0.000     0.000     4.633     0.060      1.66  -63468.4  -31819.6    ++
   B3a    -0.098    -0.351     0.364     0.996    10.792     0.033     0.002     -3.69  -31651.3      -2.5    --
   B3a    21.194    42.675    47.648     0.224     0.230     4.648     0.060      1.67  -63418.0  -31769.2    ++
   B3a    -8.435   -29.136    30.332     0.000     0.000     8.992     0.206      2.38  -38815.2   -7166.4    +-
   B2b    -0.200    -0.662     0.692     0.995    10.061     0.094     0.003     -2.57  -31493.1       0.0    --
   B2b    -8.434   -28.227    29.460     0.301     0.315     8.166     0.169      2.28  -37859.8   -6366.7    +-
   B2b    21.492    43.210    48.259     0.000     0.000     4.437     0.056      1.62  -64595.4  -33102.3    ++
   B2a    -0.176    -0.663     0.686     0.996    11.724     0.092     0.003     -2.59  -31501.1      -8.0    --
   B2a    20.816    43.472    48.199     0.351     0.375     4.468     0.056      1.63  -64497.5  -33004.4    ++
   B2a    -7.432   -28.585    29.535     0.000     0.000    11.175     0.195      2.62  -37875.8   -6382.7    +-
   B1b    -0.186    -0.478     0.513     0.996    11.170     0.060     0.003     -3.05  -31558.7       0.0    --
   B1b   -10.521   -28.013    29.923     0.520     0.608     8.654     0.173      2.34  -38320.6   -6761.9    +-
   B1b    23.002    42.198    48.060     0.000     0.000     4.505     0.057      1.63  -64187.4  -32628.7    ++
   B1a    -0.170    -0.522     0.549     0.994     9.432     0.067     0.003     -2.94  -31551.7       7.1    --
   B1a    21.937    42.766    48.064     0.362     0.388     4.499     0.057      1.63  -64206.5  -32647.8    ++
   B1a    -9.129   -28.326    29.761     0.000     0.000     7.269     0.162      2.15  -38222.1   -6663.4    +-
   I1c    -3.731   -40.563    40.734     0.988     6.339    10.463     0.152      2.55  -52185.1       0.0    ++
   I1c    33.553    21.983    40.113     0.986     5.815    10.014     0.224      2.50  -51280.0     905.1    ++
   I1c    -0.013     0.033     0.035     0.848     1.597     0.000     0.000     -8.63  -32154.6   20030.5    --
   I1c    32.139   -14.966    35.453     0.594     0.739     8.025     0.183      2.26  -49816.7    2368.4    +-
   I1c   -24.568    14.961    28.765     0.000     0.000     5.705     0.109      1.89  -40994.3   11190.9    +-
   I1b    -5.818   -40.699    41.113     0.998    14.381     9.198     0.130      2.41  -52320.6    -135.5    ++
   I1b    32.819    22.591    39.842     0.997    12.396    11.328     0.256      2.64  -50753.6    1431.5    ++
   I1b    30.618    25.656    39.946     0.996    11.694    15.702     0.363      2.99  -50738.0    1447.1    ++
   I1b    30.961    24.886    39.723     0.993     8.289     6.953     0.283      2.11  -50736.9    1448.2    +-
   I1b    -0.008     0.033     0.034     0.954     3.187     0.000     0.000     -8.71  -32178.9   20006.2    --
   I1b   -24.528    15.727    29.137     0.699     0.976     5.800     0.110      1.91  -41398.9   10786.2    +-
   I1b    32.334   -13.839    35.171     0.000     0.000     9.809     0.217      2.48  -49336.8    2848.3    +-
   I1a    32.325   -13.805    35.150     0.998    14.416     9.839     0.218      2.48  -49302.8    2882.4    +-
   I1a    32.754    22.671    39.835     0.996    10.621    11.576     0.261      2.66  -50728.9    1456.2    ++
   I1a    30.539    25.743    39.941     0.993     8.704    14.701     0.331      2.92  -50716.3    1468.8    ++
   I1a   -24.539    15.757    29.163     0.987     6.160     5.808     0.110      1.91  -41429.5   10755.6    +-
   I1a    30.976    24.822    39.694     0.986     6.013     6.405     0.262      2.02  -50714.6    1470.5    +-
   I1a    -0.008     0.033     0.034     0.965     3.693     0.000     0.000     -8.72  -32180.9   20004.2    --
   I1a    -5.940   -40.696    41.127     0.000     0.000     9.168     0.130      2.41  -52317.7    -132.5    ++
   I2c    30.402    25.745    39.838     0.989     6.796    14.757     0.344      2.92  -50578.5       0.0    ++
   I2c    32.649    22.656    39.740     0.989     6.720    11.843     0.269      2.68  -50588.0      -9.5    ++
   I2c    -6.353   -40.740    41.233     0.987     6.147     9.009     0.127      2.39  -52399.5   -1821.0    ++
