#REFERENCE 3 47.2332780 26.7604953
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
   I2c    30.931    24.721    39.596     0.986     5.922     8.105     0.365      2.27  -50576.5       2.0    +-
   I2c    -0.007     0.033     0.034     0.824     1.454     0.000     0.000     -8.71  -32182.8   18395.8    --
   I2c    32.462   -13.375    35.109     0.739     1.096    10.598     0.237      2.56  -49216.0    1362.5    +-
   I2c   -24.468    15.994    29.232     0.000     0.000     5.837     0.111      1.92  -41490.3    9088.2    +-
   I2b    -8.331   -40.805    41.647     0.999    18.752     8.593     0.121      2.34  -52677.3   -2098.8    ++
   I2b    29.493    26.313    39.524     0.999    18.644    12.834     0.311      2.77  -49999.2     579.3    ++
   I2b    -0.002     0.035     0.035     0.959     3.372     0.000     0.000     -8.70  -32196.4   18382.2    --
   I2b   -24.262    16.984    29.616     0.831     1.496     6.100     0.116      1.96  -41856.4    8722.1    +-
   I2b    32.916   -11.543    34.881     0.000     0.000    12.821     0.304      2.77  -48723.5    1855.0    +-
   I2a    32.709   -11.917    34.812     0.998    17.927    12.257     0.284      2.72  -48660.3    1918.2    +-
   I2a    29.251    26.703    39.606     0.993     8.144    12.146     0.289      2.71  -50045.9     532.6    ++
   I2a   -24.392    16.877    29.662     0.988     6.491     6.080     0.116      1.96  -41938.1    8640.5    +-
   I2a    -0.002     0.034     0.034     0.964     3.626     0.000     0.000     -8.75  -32203.3   18375.2    --
   I2a    -8.476   -40.728    41.601     0.000     0.000     8.657     0.123      2.34  -52581.0   -2002.5    ++
   3.2   -11.456    45.116    46.547     0.915     2.269     5.404     0.076      1.83  -64118.4       0.0    ++
   3.2     2.737    -2.576     3.759     0.658     0.875     0.492     0.014     -0.77  -30140.7   33977.7    --
   3.2    15.612   -14.621    21.390     0.000     0.000     3.460     0.070      1.35  -32026.9   32091.5    +-
   3.1     2.990    -2.249     3.742     0.982     5.232     0.455     0.013     -0.86  -30133.1   33985.3    --
   3.1    16.511   -13.370    21.246     0.956     3.239     3.709     0.078      1.42  -31997.2   32121.2    +-
   3.1   -15.317    42.972    45.620     0.000     0.000     6.305     0.095      2.00  -63010.4    1108.0    ++
  14.2   -37.755    27.086    46.466     0.999    21.054    21.433     0.948      3.33  -66416.2       0.0    ++
  14.2     5.848    -2.519     6.367     0.412     0.452     1.056     0.039      0.06  -28088.6   38327.6    --
  14.2    14.912    -7.399    16.646     0.000     0.000     3.679     0.111      1.41  -28478.5   37937.6    +-
  14.1     5.719    -2.447     6.220     0.999    30.933     0.987     0.036     -0.01  -28161.0   38255.2    --
  14.1    15.111    -7.513    16.876     0.999    19.818     3.656     0.108      1.41  -28594.6   37821.6    +-
  14.1   -37.586    27.197    46.394     0.000     0.000    21.035     0.910      3.31  -66271.8     144.4    ++
   K2b    -0.509     8.055     8.071     0.980     4.913     1.395     0.034      0.36  -26804.0       0.0    --
   K2b    -3.986    21.327    21.696     0.842     1.560     5.127     0.122      1.77  -27553.5    -749.5    +-
   K2b   -11.488   -59.279    60.382     0.000     0.000     3.699     0.035      1.42  -81418.3  -54614.4    ++
   K2a    -9.915   -59.451    60.272     0.898     2.036     3.980     0.042      1.50  -81541.0  -54737.0    ++
   K2a    -0.868     8.550     8.594     0.709     1.005     1.521     0.034      0.46  -26582.4     221.6    --
   K2a    -4.449    20.310    20.792     0.000     0.000     4.969     0.128      1.74  -27140.8    -336.9    +-
   K1b    -0.291     7.174     7.179     0.978     4.722     1.134     0.030      0.14  -27223.9       0.0    --
   K1b    -4.129    22.430    22.807     0.791     1.293     5.193     0.112      1.79  -28299.9   -1076.0    +-
   K1b   -12.234   -58.803    60.063     0.000     0.000     3.736     0.036      1.43  -80633.7  -53409.7    ++
   K1a   -10.704   -58.972    59.936     0.840     1.549     3.894     0.039      1.48  -80684.3  -53460.4    ++
   K1a    -0.602     7.554     7.578     0.801     1.340     1.256     0.032      0.25  -27055.9     168.0    --
   K1a    -4.706    21.534    22.042     0.000     0.000     4.955     0.113      1.74  -27937.2    -713.3    +-
   8.3    37.888    22.500    44.065     0.989     6.648    10.802     0.286      2.58  -53979.9       0.0    ++
   8.3    -8.455   -47.012    47.766     0.981     5.071     7.318     0.102      2.16  -58474.0   -4494.1    ++
   8.3    38.342   -10.353    39.716     0.895     2.010    12.127     0.217      2.71  -53194.3     785.6    +-
   8.3    -0.012     0.057     0.058     0.841     1.555     0.001     0.000     -8.03  -32040.0   21939.9    --
   8.3   -26.239    18.492    32.101     0.000     0.000     5.053     0.076      1.76  -42478.4   11501.5    +-
   8.2    -8.948   -47.559    48.393     1.000    38.767     6.920     0.094      2.10  -59473.9   -5494.0    ++
   8.2    38.812    19.146    43.277     0.999    23.466    12.826     0.379      2.77  -53264.4     715.5    ++
   8.2    41.171     6.415    41.668     0.999    18.445    52.006     4.160      4.29  -53124.7     855.2    ++
   8.2    -0.012     0.076     0.077     0.988     6.320     0.001     0.000     -7.47  -31978.9   22001.0    --
   8.2   -25.219    19.909    32.130     0.986     5.892     5.503     0.087      1.85  -42147.5   11832.4    +-
   8.2    41.176     9.132    42.177     0.982     5.237    15.805     0.426      3.00  -53122.0     857.9    +-
   8.2    40.020    -4.634    40.287     0.000     0.000    23.756     0.713      3.44  -53088.3     891.6    +-
   8.1    40.339    13.581    42.564     1.000    32.225    29.984     1.154      3.69  -52984.4     995.5    ++
   8.1    40.873    11.574    42.480     0.998    17.694    15.950     0.654      3.01  -52982.3     997.6    +-
   8.1    -0.016     0.105     0.107     0.989     6.684     0.002     0.000     -6.72  -31892.8   22087.1    --
   8.1   -24.180    20.757    31.867     0.976     4.495     5.397     0.084      1.83  -41534.0   12445.9    +-
   8.1    -8.409   -48.147    48.876     0.000     0.000     6.722     0.088      2.07  -60368.6   -6388.7    ++
  7.2d    38.477    -8.992    39.514     0.998    16.470    11.865     0.204      2.69  -52660.4       0.0    +-
  7.2d   -10.150   -46.977    48.061     0.997    12.326     7.127     0.101      2.13  -58717.3   -6056.9    ++
  7.2d   -26.208    19.280    32.536     0.993     8.158     5.804     0.095      1.91  -42877.2    9783.2    +-
  7.2d    -0.007     0.057     0.058     0.918     2.315     0.001     0.000     -8.07  -32060.2   20600.2    --
  7.2d    37.226    23.168    43.847     0.000     0.000    11.374     0.310      2.64  -53417.6    -757.2    ++
  7.2c    -4.833   -46.131    46.383     0.991     7.233    10.968     0.205      2.60  -56695.4   -4035.0    ++
  7.2c    37.266    26.151    45.526     0.990     6.864     9.746     0.220      2.47  -55892.8   -3232.4    ++
  7.2c    -0.019     0.037     0.042     0.849     1.610     0.000     0.000     -8.57  -32082.1   20578.3    --
  7.2c    35.272   -17.916    39.561     0.636     0.824     7.753     0.128      2.22  -53700.9   -1040.4    +-
  7.2c   -27.512    15.871    31.762     0.000     0.000     4.898     0.075      1.73  -42433.2   10227.2    +-
  7.2b    38.792   -10.267    40.128     0.999    24.317    13.081     0.246      2.79  -53834.9   -1174.5    +-
  7.2b    38.959    20.668    44.102     0.998    16.380    10.913     0.288      2.59  -54415.5   -1755.1    ++
  7.2b    -0.019     0.064     0.066     0.985     5.663     0.001     0.000     -7.75  -31988.9   20671.5    --
  7.2b   -25.918    18.153    31.643     0.982     5.252     4.623     0.069      1.66  -41904.4   10756.0    +-
  7.2b    -6.580   -47.233    47.689     0.000     0.000     8.799     0.142      2.36  -58626.3   -5965.9    ++
  7.2a    -4.784   -47.092    47.334     1.000    32.000    11.653     0.277      2.67  -58276.7   -5616.2    ++
  7.2a    39.047    21.201    44.432     0.998    16.782    10.330     0.261      2.54  -54906.3   -2245.9    ++
  7.2a    -0.022     0.059     0.063     0.987     6.052     0.001     0.000     -7.83  -31988.3   20672.1    --
  7.2a   -26.121    17.494    31.438     0.911     2.208     4.119     0.061      1.54  -41775.1   10885.3    +-
  7.2a    38.197   -12.367    40.149     0.000     0.000    12.743     0.242      2.76  -54118.9   -1458.5    +-
   6.3    28.557   -42.903    51.538     0.993     8.366     7.210     0.073      2.14  -72129.4       0.0    ++
   6.3    -5.997     4.833     7.702     0.499     0.575     1.626     0.045      0.53  -27519.4   44609.9    --
   6.3   -13.555    10.072    16.887     0.000     0.000     3.481     0.112      1.35  -27772.4   44356.9    +-
   6.2    27.676   -43.646    51.681     0.997    13.746     7.034     0.070      2.12  -72177.9     -48.6    ++
   6.2   -13.577    10.309    17.048     0.511     0.594     3.405     0.107      1.33  -27833.7   44295.6    +-
   6.2    -5.844     4.837     7.586     0.000     0.000     1.561     0.043      0.48  -27557.0   44572.3    --
   6.1    -6.001     4.789     7.678     0.998    14.594     1.615     0.045      0.52  -27531.1   44598.2    --
   6.1   -13.612    10.022    16.904     0.993     8.430     3.483     0.112      1.35  -27787.1   44342.3    +-
   6.1    28.859   -42.607    51.461     0.000     0.000     7.277     0.075      2.15  -72063.7      65.6    ++
  15.2    -2.849    -2.502     3.792     0.963     3.579     0.410     0.010     -0.97  -29534.6       0.0    --
  15.2   -25.800   -13.223    28.991     0.662     0.882     6.237     0.087      1.99  -33472.5   -3938.0    +-
  15.2    38.921    46.071    60.311     0.000     0.000     3.258     0.038      1.28  -81785.4  -52250.8    ++
  15.1    -3.152    -2.567     4.065     0.917     2.298     0.439     0.011     -0.89  -29356.4     178.2    --
  15.1    39.884    45.451    60.469     0.654     0.866     3.230     0.038      1.27  -82203.2  -52668.6    ++
  15.1   -25.534   -12.177    28.289     0.000     0.000     5.779     0.083      1.90  -32891.1   -3356.5    +-
  12.2     0.254     2.097     2.112     0.968     3.863     0.165     0.004     -1.95  -30463.7       0.0    --
  12.2   -13.114    29.910    32.658     0.930     2.537     9.232     0.235      2.41  -37772.8   -7309.1    +-
  12.2   -16.551   -55.959    58.356     0.000     0.000     4.031     0.041      1.51  -74069.0  -43605.3    ++
  12.1     0.207     1.972     1.983     0.964     3.631     0.158     0.004     -2.00  -30549.5     -85.8    --
  12.1   -16.042   -55.806    58.066     0.935     2.643     4.125     0.042      1.54  -73544.5  -43080.8    ++
  12.1   -14.295    29.267    32.571     0.000     0.000     8.486     0.204      2.32  -37965.4   -7501.7    +-
   D1c    31.494   -42.133    52.603     0.998    14.167     8.439     0.101      2.32  -73183.5       0.0    ++
   D1c   -16.265    10.852    19.553     0.585     0.721     3.052     0.080      1.21  -28506.6   44676.8    +-
   D1c    -5.111     3.721     6.322     0.000     0.000     0.895     0.024     -0.12  -27807.6   45375.9    --
   D1b    -4.975     3.362     6.005     0.998    18.184     0.814     0.022     -0.22  -27978.3   45205.1    --
   D1b   -16.928    10.558    19.951     0.994     8.768     3.099     0.079      1.23  -28782.7   44400.7    +-
   D1b    34.279   -38.978    51.907     0.000     0.000    10.731     0.143      2.58  -72541.5     642.0    ++
   D1a    33.854   -39.767    52.225     0.993     8.697     9.938     0.125      2.49  -73022.8     160.7    ++
   D1a    -5.268     3.629     6.397     0.589     0.729     0.919     0.025     -0.09  -27778.7   45404.7    --
   D1a   -16.397    10.432    19.434     0.000     0.000     3.099     0.082      1.23  -28443.8   44739.7    +-
  13.2    34.862   -22.243    41.353     0.995     9.592     5.204     0.077      1.79  -54605.6       0.0    +-
  13.2   -32.649    12.911    35.109     0.993     8.382     4.744     0.066      1.69  -45431.2    9174.5    +-
  13.2    35.089    36.351    50.524     0.985     5.761     6.320     0.121      2.00  -60971.8   -6366.2    ++
  13.2    -0.013     0.014     0.019     0.947     2.938     0.000     0.000     -9.53  -32202.2   22403.4    --
  13.2    -9.646   -48.158    49.115     0.000     0.000     9.162     0.164      2.40  -57357.1   -2751.5    ++
  13.1    -9.767   -47.824    48.811     0.996    11.355     9.402     0.172      2.43  -56816.9   -2211.3    ++
  13.1    34.600    37.159    50.773     0.995    10.302     6.074     0.114      1.96  -61406.7   -6801.1    ++
  13.1    -0.013     0.011     0.017     0.925     2.428     0.000     0.000     -9.60  -32213.6   22392.0    --
  13.1   -33.054    12.069    35.188     0.742     1.108     4.742     0.065      1.69  -45584.6    9021.1    +-
  13.1    34.153   -23.091    41.227     0.000     0.000     6.145     0.081      1.97  -54358.2     247.4    +-
