#REFERENCE 3 47.2332780 26.7604953
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
   I1c   -24.568    14.961    28.765       nan       nan     6.730     0.129      2.07  -22242.0       0.0    +-
   I1c    -6.217   -40.595    41.068       nan       nan     9.912     0.111      2.49  -32886.5  -10644.5    ++
   I1c    -0.533     0.691     0.873       nan       nan     0.198     0.006     -1.76  -13805.5    8436.4    --
   I1c    31.581   -14.048    34.565       nan       nan    12.232     0.371      2.72  -30355.0   -8113.1    +-
   I1c    32.125    22.798    39.393       nan       nan    11.565     0.243      2.66  -31815.1   -9573.1    ++
   I1b   -23.948    14.606    28.051       nan       nan     6.428     0.124      2.02  -21447.5     794.5    +-
   I1b    -3.077   -40.708    40.824       nan       nan    11.715     0.165      2.67  -33273.2  -11031.3    ++
   I1b    -0.726     0.791     1.074       nan       nan     0.205     0.006     -1.72  -13743.8    8498.2    --
   I1b    32.334   -13.839    35.171       nan       nan    14.558     0.459      2.91  -31242.4   -9000.5    +-
   I1b    33.778    20.264    39.390       nan       nan    10.945     0.274      2.60  -32261.6  -10019.6    ++
   I1a   -24.365    15.100    28.665       nan       nan     6.691     0.128      2.06  -22116.3     125.7    +-
   I1a    -5.940   -40.696    41.127       nan       nan     9.854     0.110      2.48  -33039.4  -10797.4    ++
   I1a    -0.550     0.725     0.910       nan       nan     0.199     0.006     -1.75  -13794.0    8448.0    --
   I1a    31.897   -13.547    34.655       nan       nan    13.998     0.385      2.87  -30477.0   -8235.0    +-
   I1a    32.429    22.210    39.305       nan       nan    10.843     0.256      2.59  -31783.0   -9541.1    ++
   3.2   -13.161    44.198    46.116       nan       nan     6.718     0.142      2.07  -43170.0       0.0    ++
   3.2     2.686    -2.817     3.892       nan       nan     0.348     0.008     -1.15  -11036.9   32133.0    --
   3.2    15.612   -14.621    21.390       nan       nan     3.493     0.067      1.36  -13447.3   29722.7    +-
   3.1   -15.317    42.972    45.620       nan       nan     7.334     0.166      2.16  -42577.0     592.9    ++
   3.1     2.813    -2.605     3.833       nan       nan     0.339     0.008     -1.18  -11046.4   32123.6    --
   3.1    16.167   -13.924    21.337       nan       nan     3.364     0.069      1.32  -13472.2   29697.8    +-
   K2b   -11.488   -59.279    60.382       nan       nan     3.703     0.052      1.42  -62712.3       0.0    ++
   K2b    -4.215    20.041    20.480       nan       nan     4.670     0.107      1.67   -8902.3   53810.0    +-
   K2b    -0.723     7.597     7.632       nan       nan     1.028     0.021      0.03   -8225.8   54486.5    --
   K2a   -11.384   -59.116    60.203       nan       nan     3.759     0.054      1.44  -62360.2     352.1    ++
   K2a    -4.449    20.310    20.792       nan       nan     4.640     0.104      1.67   -9128.8   53583.4    +-
   K2a    -0.718     7.359     7.394       nan       nan     0.947     0.020     -0.06   -8367.2   54345.1    --
   K1b   -12.234   -58.803    60.063       nan       nan     3.769     0.052      1.44  -61883.4       0.0    ++
   K1b    -4.446    21.190    21.651       nan       nan     4.748     0.102      1.69   -9620.3   52263.1    +-
   K1b    -0.536     6.911     6.932       nan       nan     0.798     0.017     -0.24   -8630.0   53253.4    --
   K1a   -12.223   -58.595    59.857       nan       nan     3.838     0.056      1.46  -61451.0     432.4    ++
   K1a    -4.706    21.534    22.042       nan       nan     4.762     0.100      1.69   -9924.3   51959.1    +-
   K1a    -0.517     6.654     6.674       nan       nan     0.728     0.015     -0.34   -8802.0   53081.4    --
   8.3   -26.239    18.492    32.101       nan       nan     5.851     0.100      1.92  -23365.7       0.0    +-
   8.3    -9.366   -47.294    48.212       nan       nan     7.348     0.102      2.17  -39670.9  -16305.2    ++
   8.3    -0.572     1.035     1.182       nan       nan     0.156     0.005     -2.02  -13654.1    9711.6    --
   8.3    37.798    22.576    44.027       nan       nan    12.590     0.310      2.75  -35156.9  -11791.2    ++
   8.3    38.837    -8.478    39.751       nan       nan    15.087     0.321      2.95  -34444.9  -11079.2    +-
   8.2   -25.510    19.118    31.879       nan       nan     6.108     0.127      1.96  -22959.3     406.3    +-
   8.2    -8.906   -47.701    48.526       nan       nan     7.116     0.099      2.13  -40304.9  -16939.2    ++
   8.2    -0.598     1.151     1.297       nan       nan     0.158     0.005     -2.00  -13594.0    9771.6    --
   8.2    38.802    19.739    43.535       nan       nan    13.941     0.411      2.86  -34925.8  -11560.1    ++
   8.2    40.020    -4.634    40.287       nan       nan    22.891     0.612      3.40  -34632.0  -11266.4    +-
   8.1   -24.685    19.743    31.609       nan       nan     6.082     0.132      1.96  -22494.8     870.8    +-
   8.1    -8.409   -48.147    48.876       nan       nan     6.887     0.098      2.10  -41006.4  -17640.7    ++
   8.1    -0.628     1.280     1.426       nan       nan     0.161     0.005     -1.98  -13520.0    9845.7    --
   8.1    39.900    15.966    42.976       nan       nan    17.558     0.634      3.11  -34727.4  -11361.8    ++
   8.1    41.260    10.250    42.514       nan       nan     5.810     0.680      1.91  -34689.1  -11323.4    +-
  7.2d   -26.215    19.167    32.475       nan       nan     6.642     0.161      2.06  -23683.4       0.0    +-
  7.2d   -10.811   -47.251    48.472       nan       nan     7.291     0.104      2.16  -39867.7  -16184.3    ++
  7.2d    -0.472     1.044     1.146       nan       nan     0.153     0.004     -2.04  -13664.9   10018.5    --
  7.2d    37.226    23.168    43.847       nan       nan    13.116     0.320      2.79  -34693.0  -11009.6    ++
  7.2d    38.892    -7.343    39.580       nan       nan    14.901     0.302      2.93  -33992.6  -10309.2    +-
  7.2c   -27.512    15.871    31.762       nan       nan     5.484     0.091      1.85  -23247.9     435.5    +-
  7.2c    -5.801   -46.484    46.845       nan       nan    11.228     0.381      2.63  -37952.3  -14269.0    ++
  7.2c    -0.804     0.770     1.113       nan       nan     0.158     0.005     -2.00  -13707.9    9975.5    --
  7.2c    35.540   -17.474    39.603       nan       nan    11.065     0.295      2.61  -35089.3  -11405.9    +-
  7.2c    37.369    26.034    45.543       nan       nan    10.419     0.213      2.54  -37068.0  -13384.6    ++
  7.2b   -26.350    17.264    31.502       nan       nan     4.508     0.079      1.63  -22839.7     843.7    +-
  7.2b    -6.580   -47.233    47.689       nan       nan     8.829     0.207      2.36  -39250.1  -15566.7    ++
  7.2b    -0.765     0.992     1.253       nan       nan     0.160     0.005     -1.99  -13632.4   10051.0    --
  7.2b    38.308   -11.684    40.050       nan       nan    15.758     0.348      2.99  -35296.9  -11613.5    +-
  7.2b    38.669    22.150    44.564       nan       nan    11.681     0.277      2.67  -36168.8  -12485.4    ++
  7.2a   -26.333    17.001    31.344       nan       nan     4.491     0.076      1.63  -22678.2    1005.2    +-
  7.2a    -5.410   -47.198    47.507       nan       nan    17.143     1.653      3.09  -39186.8  -15503.4    ++
  7.2a    -0.816     0.989     1.282       nan       nan     0.161     0.005     -1.98  -13620.9   10062.5    --
  7.2a    38.197   -12.367    40.149       nan       nan    16.058     0.364      3.01  -35519.3  -11835.9    +-
  7.2a    38.934    21.899    44.670       nan       nan    11.533     0.273      2.65  -36408.3  -12724.9    ++
   6.3   -13.555    10.072    16.887       nan       nan     3.149     0.087      1.25   -9912.2       0.0    +-
   6.3    -5.123     4.110     6.568       nan       nan     0.852     0.016     -0.17   -9485.6     426.6    --
   6.3    28.425   -42.943    51.498       nan       nan     7.963     0.183      2.25  -53137.2  -43225.0    ++
   6.2   -12.111     9.413    15.339       nan       nan     3.531     0.117      1.37   -9154.9     757.3    +-
   6.2    -5.844     4.837     7.586       nan       nan     1.368     0.028      0.34   -8973.7     938.5    --
   6.2    28.313   -43.846    52.193       nan       nan     7.332     0.162      2.16  -54340.9  -44428.6    ++
   6.1   -13.508     9.947    16.776       nan       nan     3.171     0.088      1.25   -9861.7      50.5    +-
   6.1    -5.191     4.117     6.625       nan       nan     0.875     0.016     -0.15   -9455.7     456.5    --
   6.1    28.859   -42.607    51.461       nan       nan     8.023     0.188      2.26  -53158.7  -43246.5    ++
  12.2   -16.551   -55.959    58.356       nan       nan     4.162     0.054      1.55  -54989.7       0.0    ++
  12.2   -14.078    28.592    31.870       nan       nan     8.578     0.443      2.33  -18739.5   36250.1    +-
  12.2    -0.001     3.018     3.018       nan       nan     0.159     0.004     -2.00  -11907.9   43081.7    --
  12.1   -17.537   -55.436    58.144       nan       nan     4.187     0.055      1.55  -54433.4     556.3    ++
  12.1   -14.295    29.267    32.571       nan       nan     8.999     0.463      2.39  -19464.4   35525.3    +-
  12.1     0.107     2.878     2.880       nan       nan     0.147     0.004     -2.08  -12061.1   42928.6    --
   4.3   -17.453    10.757    20.502       nan       nan     3.170     0.067      1.25  -11361.7       0.0    +-
   4.3    -4.422     2.877     5.275       nan       nan     0.411     0.008     -0.96  -10133.8    1227.9    --
   4.3    34.211   -38.967    51.854       nan       nan    12.328     0.395      2.73  -53174.8  -41813.1    ++
   4.1   -16.397    10.432    19.434       nan       nan     3.068     0.069      1.22  -10663.3     698.5    +-
   4.1    -4.770     3.225     5.758       nan       nan     0.514     0.009     -0.72   -9759.5    1602.2    --
   4.1    33.873   -40.064    52.464       nan       nan    10.693     0.336      2.57  -54195.6  -42833.8    ++
  13.2   -32.634    13.257    35.224       nan       nan     5.328     0.084      1.82  -25903.8       0.0    +-
  13.2    -9.646   -48.158    49.115       nan       nan     9.347     0.169      2.43  -38234.5  -12330.7    ++
  13.2    -0.755     0.285     0.807       nan       nan     0.133     0.004     -2.19  -13824.8   12079.0    --
  13.2    34.388   -22.921    41.327       nan       nan     7.550     0.182      2.19  -35885.1   -9981.4    +-
  13.2    35.902    35.652    50.597       nan       nan     6.718     0.125      2.07  -41909.0  -16005.2    ++
  13.1   -32.822    13.096    35.338       nan       nan     5.354     0.084      1.82  -26050.4    -146.7    +-
  13.1   -10.119   -48.019    49.074       nan       nan     9.448     0.174      2.44  -38078.7  -12174.9    ++
  13.1    -0.735     0.256     0.779       nan       nan     0.133     0.004     -2.19  -13833.5   12070.3    --
  13.1    34.153   -23.091    41.227       nan       nan     7.835     0.166      2.24  -35707.1   -9803.3    +-
  13.1    35.566    36.060    50.648       nan       nan     6.645     0.124      2.06  -41957.8  -16054.0    ++
