#REFERENCE 3 47.2332780 26.7604953
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
   1.3   -17.879    -0.689    17.893       nan       nan     3.981     0.129      1.50  -13518.2       0.0    +-
   1.3    -3.928    -0.591     3.972       nan       nan     0.665     0.018     -0.44  -12318.3    1199.9    --
   1.3    35.320    19.759    40.471       nan       nan     5.662     0.069      1.88  -38668.4  -25150.2    ++
   1.2   -16.189    -0.792    16.209       nan       nan     4.231     0.123      1.57  -12877.9     640.2    +-
   1.2    -4.404    -0.566     4.440       nan       nan     0.798     0.021     -0.25  -12045.4    1472.8    --
   1.2    36.168    18.999    40.855       nan       nan     5.555     0.066      1.86  -39432.6  -25914.4    ++
   1.1   -16.050    -0.707    16.065       nan       nan     4.492     0.121      1.63  -12810.7     707.5    +-
   1.1    -4.460    -0.533     4.492       nan       nan     0.816     0.021     -0.22  -12015.6    1502.6    --
   1.1    36.303    18.744    40.856       nan       nan     5.566     0.067      1.86  -39474.0  -25955.8    ++
 10.1b   -27.017     2.973    27.180       nan       nan     5.788     0.111      1.91  -20240.6       0.0    +-
 10.1b    -1.500    -0.412     1.555       nan       nan     0.239     0.007     -1.55  -13587.7    6652.9    --
 10.1b    31.453    30.129    43.555       nan       nan     6.482     0.089      2.03  -38003.8  -17763.3    ++
 10.1a   -27.518     1.614    27.566       nan       nan     5.993     0.120      1.94  -20442.0    -201.5    +-
 10.1a    -1.459    -0.595     1.576       nan       nan     0.240     0.007     -1.55  -13576.4    6664.2    --
 10.1a    30.527    31.524    43.883       nan       nan     5.979     0.083      1.94  -38460.7  -18220.2    ++
   B4b    -9.590   -28.331    29.910       nan       nan     7.504     0.471      2.19  -18805.6       0.0    +-
   B4b    -1.130    -2.645     2.876       nan       nan     0.296     0.008     -1.32  -12700.7    6104.9    --
   B4b    22.228    42.511    47.972       nan       nan     4.647     0.056      1.67  -44781.8  -25976.2    ++
   B4a    -8.531   -28.643    29.886       nan       nan     8.777     0.500      2.36  -18786.1      19.5    +-
   B4a    -1.025    -2.676     2.865       nan       nan     0.295     0.008     -1.33  -12693.6    6111.9    --
   B4a    21.425    42.865    47.921       nan       nan     4.672     0.056      1.67  -44688.3  -25882.7    ++
   B3b    -9.195   -28.826    30.257       nan       nan     7.286     0.495      2.16  -19211.3       0.0    +-
   B3b    -1.032    -2.533     2.735       nan       nan     0.287     0.008     -1.35  -12792.7    6418.6    --
   B3b    21.826    42.392    47.681       nan       nan     4.741     0.057      1.69  -44247.1  -25035.8    ++
   B3a    -8.435   -29.136    30.332       nan       nan     9.741     0.574      2.47  -19254.9     -43.6    +-
   B3a    -0.950    -2.537     2.709       nan       nan     0.285     0.008     -1.36  -12800.4    6411.0    --
   B3a    21.234    42.607    47.605       nan       nan     4.773     0.058      1.70  -44108.4  -24897.0    ++
   B2b    -8.456   -28.164    29.407       nan       nan     8.665     0.447      2.34  -18266.4       0.0    +-
   B2b    -1.091    -2.838     3.041       nan       nan     0.307     0.009     -1.28  -12567.9    5698.5    --
   B2b    21.492    43.210    48.259       nan       nan     4.571     0.054      1.65  -45313.5  -27047.1    ++
   B2a    -7.432   -28.585    29.535       nan       nan    11.838     0.422      2.68  -18374.3    -108.0    +-
   B2a    -0.988    -2.820     2.988       nan       nan     0.303     0.008     -1.30  -12592.7    5673.6    --
   B2a    20.823    43.392    48.130       nan       nan     4.624     0.055      1.66  -45079.7  -26813.3    ++
   B1b   -10.662   -28.008    29.969       nan       nan     9.435     0.508      2.44  -18748.9       0.0    +-
   B1b    -1.241    -2.634     2.911       nan       nan     0.299     0.008     -1.31  -12689.4    6059.5    --
   B1b    23.002    42.198    48.060       nan       nan     4.618     0.056      1.66  -44951.0  -26202.1    ++
   B1a    -9.129   -28.326    29.761       nan       nan     7.757     0.467      2.22  -18655.5      93.5    +-
   B1a    -1.103    -2.702     2.919       nan       nan     0.299     0.008     -1.31  -12664.2    6084.8    --
   B1a    21.900    42.761    48.043       nan       nan     4.628     0.056      1.66  -44912.8  -26163.9    ++
   I2c   -24.468    15.994    29.232       nan       nan     6.964     0.133      2.11  -22706.1       0.0    +-
   I2c    -8.721   -40.615    41.540       nan       nan     9.251     0.106      2.42  -33091.8  -10385.7    ++
   I2c    -0.370     0.709     0.799       nan       nan     0.193     0.006     -1.78  -13818.8    8887.3    --
   I2c    29.576    25.818    39.260       nan       nan    12.532     0.231      2.75  -31185.8   -8479.7    ++
   I2c    31.957   -12.166    34.194       nan       nan    15.974     0.458      3.01  -29757.1   -7051.0    +-
   I2b   -23.834    15.581    28.475       nan       nan     6.655     0.129      2.06  -21854.9     851.2    +-
   I2b    -5.610   -40.968    41.350       nan       nan     9.570     0.106      2.45  -33458.9  -10752.8    ++
   I2b    -0.572     0.814     0.995       nan       nan     0.200     0.006     -1.75  -13764.4    8941.7    --
   I2b    32.916   -11.543    34.881       nan       nan    19.221     0.612      3.21  -30693.5   -7987.4    +-
   I2b    33.062    20.759    39.039       nan       nan    11.280     0.295      2.63  -31620.1   -8914.0    ++
   I2a   -24.268    16.142    29.146       nan       nan     6.966     0.134      2.11  -22588.7     117.4    +-
   I2a    -8.476   -40.728    41.601       nan       nan     9.160     0.104      2.40  -33236.9  -10530.8    ++
   I2a    -0.384     0.741     0.834       nan       nan     0.194     0.006     -1.78  -13808.8    8897.3    --
   I2a    30.023    24.964    39.046       nan       nan    48.726    14.179      4.22  -31129.6   -8423.5    ++
   I2a    32.308   -11.510    34.297       nan       nan    17.100     0.524      3.08  -29858.7   -7152.6    +-
