#REFERENCE 3 47.2332780 26.7604950
I1c 0.550 -1.390 0.000 0.000 0.00 1.876 2.06 -6.237 -40.602 2.06 0.00
I1c 0.550 -1.390 0.000 0.000 0.00 1.876 2.06 -0.533 0.691 2.06 0.00
I1c 0.550 -1.390 0.000 0.000 0.00 1.876 2.06 31.571 -14.074 2.06 0.00
I1c 0.550 -1.390 0.000 0.000 0.00 1.876 2.06 32.125 22.797 2.06 0.00
I1b 0.976 -1.633 0.000 0.000 0.00 1.876 2.91 -23.943 14.620 2.91 0.00
I1b 0.976 -1.633 0.000 0.000 0.00 1.876 2.91 -3.129 -40.723 2.91 0.00
I1b 0.976 -1.633 0.000 0.000 0.00 1.876 2.91 -0.725 0.791 2.91 0.00
I1b 0.976 -1.633 0.000 0.000 0.00 1.876 2.91 32.334 -13.838 2.91 0.00
I1b 0.976 -1.633 0.000 0.000 0.00 1.876 2.91 33.778 20.254 2.91 0.00
I1a 0.594 -1.463 0.000 0.000 0.00 1.876 2.50 -24.379 15.078 2.50 0.00
I1a 0.594 -1.463 0.000 0.000 0.00 1.876 2.50 -5.940 -40.694 2.50 0.00
I1a 0.594 -1.463 0.000 0.000 0.00 1.876 2.50 -0.551 0.722 2.50 0.00
I1a 0.594 -1.463 0.000 0.000 0.00 1.876 2.50 31.860 -13.636 2.50 0.00
I1a 0.594 -1.463 0.000 0.000 0.00 1.876 2.50 32.423 22.236 2.50 0.00
3.2 -6.712 5.812 0.000 0.000 0.00 2.036 1.35 -13.155 44.188 1.35 0.00
3.2 -6.712 5.812 0.000 0.000 0.00 2.036 1.35 2.685 -2.816 1.35 0.00
3.2 -6.712 5.812 0.000 0.000 0.00 2.036 1.35 15.613 -14.620 1.35 0.00
3.1 -7.000 5.473 0.000 0.000 0.00 2.036 2.18 -15.317 42.973 2.18 0.00
3.1 -7.000 5.473 0.000 0.000 0.00 2.036 2.18 2.815 -2.610 2.18 0.00
3.1 -7.000 5.473 0.000 0.000 0.00 2.036 2.18 16.149 -13.920 2.18 0.00
K2b -0.096 -12.510 0.000 0.000 0.00 3.290 1.42 -11.488 -59.278 1.42 0.00
K2b -0.096 -12.510 0.000 0.000 0.00 3.290 1.42 -4.230 20.053 1.42 0.00
K2b -0.096 -12.510 0.000 0.000 0.00 3.290 1.42 -0.722 7.585 1.42 0.00
K2a -0.068 -12.373 0.000 0.000 0.00 3.290 1.66 -11.399 -59.123 1.66 0.00
K2a -0.068 -12.373 0.000 0.000 0.00 3.290 1.66 -4.449 20.311 1.66 0.00
K2a -0.068 -12.373 0.000 0.000 0.00 3.290 1.66 -0.715 7.359 1.66 0.00
K1b -0.315 -12.098 0.000 0.000 0.00 3.290 1.44 -12.234 -58.802 1.44 0.00
K1b -0.315 -12.098 0.000 0.000 0.00 3.290 1.44 -4.463 21.198 1.44 0.00
K1b -0.315 -12.098 0.000 0.000 0.00 3.290 1.44 -0.535 6.901 1.44 0.00
K1a -0.312 -11.920 0.000 0.000 0.00 3.290 1.69 -12.240 -58.602 1.69 0.00
K1a -0.312 -11.920 0.000 0.000 0.00 3.290 1.69 -4.706 21.535 1.69 0.00
K1a -0.312 -11.920 0.000 0.000 0.00 3.290 1.69 -0.515 6.654 1.69 0.00
8.3 0.776 -2.494 0.000 0.000 0.00 3.380 1.91 -26.239 18.493 1.91 0.00
8.3 0.776 -2.494 0.000 0.000 0.00 3.380 1.91 -9.385 -47.296 1.91 0.00
8.3 0.776 -2.494 0.000 0.000 0.00 3.380 1.91 -0.571 1.034 1.91 0.00
8.3 0.776 -2.494 0.000 0.000 0.00 3.380 1.91 37.793 22.578 1.91 0.00
8.3 0.776 -2.494 0.000 0.000 0.00 3.380 1.91 38.827 -8.508 1.91 0.00
8.2 0.843 -2.797 0.000 0.000 0.00 3.380 3.39 -25.505 19.123 3.39 0.00
8.2 0.843 -2.797 0.000 0.000 0.00 3.380 3.39 -8.924 -47.706 3.39 0.00
8.2 0.843 -2.797 0.000 0.000 0.00 3.380 3.39 -0.597 1.151 3.39 0.00
8.2 0.843 -2.797 0.000 0.000 0.00 3.380 3.39 38.804 19.723 3.39 0.00
8.2 0.843 -2.797 0.000 0.000 0.00 3.380 3.39 40.020 -4.633 3.39 0.00
8.1 0.922 -3.123 0.000 0.000 0.00 3.380 2.11 -24.694 19.727 2.11 0.00
