#REFERENCE 3 47.2332780 26.7604950
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
   I1b    -0.725     0.791     1.073       nan       nan     0.205     0.000     -1.72  -13765.4    8499.2    --
   I1b    32.334   -13.838    35.171       nan       nan    14.628     0.006      2.91  -31260.0   -8995.3    +-
   I1b    33.778    20.254    39.385       nan       nan    10.975     0.001      2.60  -32276.4  -10011.8    ++
   I1a   -24.379    15.078    28.665       nan       nan     6.601     0.000      2.05  -22140.2     124.4    +-
   I1a    -5.940   -40.694    41.126       nan       nan     9.978     0.002      2.50  -33052.6  -10788.0    ++
   I1a    -0.551     0.722     0.908       nan       nan     0.199     0.000     -1.76  -13816.1    8448.5    --
   I1a    31.860   -13.636    34.655       nan       nan    13.757     0.005      2.85  -30498.1   -8233.5    +-
   I1a    32.423    22.236    39.316       nan       nan    10.871     0.000      2.59  -31816.4   -9551.7    ++
   3.2   -13.155    44.188    46.105       nan       nan     6.809     0.000      2.08  -43182.1       0.0    ++
   3.2     2.685    -2.816     3.891       nan       nan     0.348     0.000     -1.15  -11062.5   32119.6    --
   3.2    15.613   -14.620    21.389       nan       nan     3.483     0.000      1.35  -13473.7   29708.5    +-
   3.1   -15.317    42.973    45.621       nan       nan     7.430     0.000      2.18  -42609.5     572.6    ++
   3.1     2.815    -2.610     3.839       nan       nan     0.339     0.000     -1.17  -11065.6   32116.5    --
   3.1    16.149   -13.920    21.321       nan       nan     3.359     0.000      1.32  -13483.3   29698.8    +-
   K2b   -11.488   -59.278    60.381       nan       nan     3.708     0.000      1.42  -62724.6       0.0    ++
   K2b    -4.230    20.053    20.494       nan       nan     4.654     0.000      1.67   -8931.7   53792.9    +-
   K2b    -0.722     7.585     7.620       nan       nan     1.005     0.000      0.01   -8250.9   54473.7    --
   K2a   -11.399   -59.123    60.212       nan       nan     3.759     0.000      1.44  -62391.5     333.2    ++
   K2a    -4.449    20.311    20.793       nan       nan     4.627     0.000      1.66   -9147.5   53577.1    +-
   K2a    -0.715     7.359     7.394       nan       nan     0.929     0.000     -0.08   -8385.4   54339.2    --
   K1b   -12.234   -58.802    60.062       nan       nan     3.773     0.000      1.44  -61895.9       0.0    ++
   K1b    -4.463    21.198    21.663       nan       nan     4.730     0.000      1.69   -9649.9   52246.0    +-
   K1b    -0.535     6.901     6.922       nan       nan     0.781     0.000     -0.27   -8654.8   53241.1    --
   K1a   -12.240   -58.602    59.866       nan       nan     3.837     0.000      1.46  -61482.4     413.5    ++
   K1a    -4.706    21.535    22.043       nan       nan     4.746     0.000      1.69   -9943.7   51952.2    +-
   K1a    -0.515     6.654     6.674       nan       nan     0.715     0.000     -0.36   -8820.5   53075.4    --
   8.3   -26.239    18.493    32.101       nan       nan     5.788     0.000      1.91  -23389.8       0.0    +-
   8.3    -9.385   -47.296    48.218       nan       nan     7.423     0.001      2.18  -39693.7  -16303.9    ++
   8.3    -0.571     1.034     1.181       nan       nan     0.156     0.000     -2.02  -13675.9    9713.9    --
   8.3    37.793    22.578    44.024       nan       nan    12.540     0.001      2.75  -35174.7  -11784.9    ++
   8.3    38.827    -8.508    39.748       nan       nan    15.091     0.008      2.95  -34461.3  -11071.5    +-
   8.2   -25.505    19.123    31.878       nan       nan     6.023     0.000      1.95  -22981.1     408.7    +-
   8.2    -8.924   -47.706    48.533       nan       nan     7.187     0.001      2.14  -40331.8  -16942.0    ++
   8.2    -0.597     1.151     1.296       nan       nan     0.158     0.000     -2.00  -13615.4    9774.4    --
