#Nsample
#ln(Lhood)
#O1 : emass
#O1 : theta (deg)
#O1 : rc (arcsec)
#O1 : sigma (km/s)
#O1 : rcut (arcsec)
#Chi2
1 6.964968 0.096369 16.196262 0.005196 149.031870 0.186943 5.404046
1 9.379883 0.130423 74.179423 0.010140 75.552264 0.679566 0.574216
1 9.292986 0.124262 77.603656 0.018643 88.758962 0.381957 0.748010
1 8.829121 0.058723 7.311190 0.005781 63.241121 1.965485 1.675742
1 6.400392 0.534279 48.070500 0.010910 109.639540 0.444102 6.533199
1 9.300838 0.041053 143.077970 0.012012 71.235088 0.667587 0.732306
1 8.857347 0.108960 41.668324 0.010127 67.969593 1.355043 1.619289
1 9.216295 0.335637 141.088467 0.003628 70.592583 0.646366 0.901394
1 9.388300 0.500614 17.604420 0.013289 83.465030 0.584152 0.557383
1 9.236237 0.741335 139.072978 0.011993 63.207771 1.232021 0.861508
2 9.507194 0.277240 150.042280 0.012059 58.098986 1.616602 0.319595
2 9.362827 0.158132 66.036995 0.008225 75.794530 0.700567 0.608328
2 9.405134 0.460273 157.012385 0.018246 61.468765 1.688829 0.523715
2 9.383123 0.313750 4.016840 0.002306 96.929664 0.387866 0.567737
2 8.959813 0.363243 152.016350 0.001550 63.945470 0.856292 1.414357
2 9.598992 0.127637 150.754320 0.018990 69.620215 0.884613 0.135998
2 9.173455 0.189119 71.671463 0.004605 61.700230 1.739710 0.987073
2 9.236633 0.446345 139.164859 0.010657 92.924578 0.466323 0.860716
2 8.670120 0.015869 120.313809 0.014822 56.150376 1.626817 1.993743
2 9.466937 0.082038 158.457431 0.011538 62.006675 1.191060 0.400108
3 9.047596 0.344223 35.839418 0.001393 66.121343 1.828041 1.238791
3 8.917762 0.776726 135.543529 0.018147 114.531620 0.381906 1.498458
3 9.544208 0.493960 39.521893 0.015217 68.446083 1.552248 0.245566
3 8.515248 0.203964 130.831884 0.001734 100.526506 0.401309 2.303487
3 9.552432 0.313725 41.387588 0.007826 72.773619 0.879426 0.229118
3 9.482228 0.087903 155.289389 0.016112 74.826739 0.754360 0.369526
3 8.929675 0.447807 38.808888 0.004731 81.014936 0.811405 1.474634
3 9.427297 0.506763 39.586732 0.014578 80.442686 0.789395 0.479389
3 8.331361 0.391346 110.452908 0.009584 63.330042 1.682422 2.671261
3 9.423963 0.096478 154.073766 0.011955 61.574143 1.193942 0.486056
4 9.216094 0.263386 85.204026 0.011367 104.086102 0.268304 0.901795
4 8.698809 0.541925 60.220354 0.013281 97.336015 0.328173 1.936365
4 8.845154 0.525070 30.720994 0.014274 62.470005 1.859486 1.643674
4 9.393172 0.189379 68.839214 0.005632 112.918767 0.245543 0.547640
4 9.588508 0.442394 31.342181 0.005566 72.789365 0.968182 0.156966
4 7.775656 0.187441 135.438759 0.000651 81.711020 0.776848 3.782670
4 9.362623 0.467358 39.937094 0.017272 81.288325 0.748637 0.608736
4 9.331630 0.309805 46.371748 0.016324 86.112090 0.552347 0.670722
4 8.177052 0.013900 133.743996 0.012999 68.801100 1.406133 2.979879
4 9.242242 0.123017 151.565900 0.015398 58.044434 1.485256 0.849499
