#REFERENCE 3 47.2332780 26.7604950
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
   K1b   -24.883    16.803    30.026       nan       nan     4.326      1.59  -124324.0    8015.3    +-
   K1b   -15.866   -37.410    40.635       nan       nan     2.621      1.05  -133399.8   -1060.5    +-
   K1b    -8.915   -39.896    40.880       nan       nan    11.073      2.61  -133540.6   -1201.2    ++
   K1b     3.763   -38.619    38.802       nan       nan    14.145      2.88  -133179.7    -840.4    +-
   K1b     1.166     0.394     1.231       nan       nan     0.087     -2.65  -113732.0   18607.3    --
   K1b     6.113   -38.902    39.379       nan       nan    17.384      3.10  -133184.3    -844.9    ++
   K1b    23.548    26.476    35.432       nan       nan     6.119      1.97  -130966.4    1372.9    ++
   K1a   -22.261   -33.477    40.203       nan       nan     9.156      2.40  -134082.9   -1743.6    ++
   K1a   -23.480    17.252    29.137       nan       nan     5.249      1.80  -123041.9    9297.5    +-
   K1a   -17.059   -36.929    40.679       nan       nan     2.256      0.88  -133959.3   -1620.0    +-
   K1a    -5.940   -40.694    41.126       nan       nan     9.414      2.43  -134467.1   -2127.7    ++
   K1a     0.895   -39.074    39.084       nan       nan     4.110      1.53  -134342.2   -2002.8    +-
   K1a     0.979     0.619     1.158       nan       nan     0.056     -3.14  -113697.4   18641.9    --
   K1a     9.727   -39.676    40.851       nan       nan     8.224      2.29  -134545.1   -2205.7    ++
   K1a    25.796    23.931    35.187       nan       nan     7.964      2.25  -130901.0    1438.4    ++
   6.3   -13.555    10.073    16.888       nan       nan     1.737      0.60  -112928.7       0.0    +-
   6.3    -2.025     1.997     2.844       nan       nan     0.259     -1.47  -111403.6    1525.1    --
   6.3    24.451   -45.927    52.030       nan       nan     4.126      1.54  -149811.0  -36882.3    ++
   6.2    27.625   -48.170    55.529       nan       nan     3.428      1.34  -156762.3  -43833.6    ++
   6.1   -13.524     8.328    15.883       nan       nan     1.862      0.68  -112120.2     808.5    +-
   6.1    -3.100     2.029     3.705       nan       nan     0.252     -1.50  -111004.2    1924.5    --
   6.1    28.859   -42.606    51.460       nan       nan     4.584      1.65  -149260.9  -36332.3    ++
   B4b   -27.518   -16.108    31.886       nan       nan     9.021      2.39  -124669.1       0.0    +-
   B4b   -30.175    -0.130    30.175       nan       nan     3.458      1.35  -124118.0     551.1    +-
   B4b    -8.156   -27.905    29.073       nan       nan     2.159      0.84  -122959.6    1709.6    +-
   B4b     0.874    -1.159     1.451       nan       nan     0.112     -2.37  -112725.0   11944.1    --
   B4b    22.228    42.512    47.973       nan       nan     7.260      2.15  -146583.4  -21914.3    ++
   B4a   -27.031   -19.996    33.623       nan       nan     6.575      2.04  -125879.1   -1209.9    ++
   B4a   -30.359     1.361    30.390       nan       nan     2.877      1.15  -124847.9    -178.7    +-
   B4a    -8.531   -28.642    29.885       nan       nan     1.855      0.67  -124053.2     616.0    +-
   B4a     0.973    -1.026     1.414       nan       nan     0.108     -2.42  -112931.0   11738.2    --
   B4a    21.592    42.083    47.299       nan       nan     8.129      2.28  -145259.4  -20590.2    ++
   B3b   -26.835   -19.231    33.014       nan       nan     7.211      2.15  -125225.2       0.0    ++
   B3b   -30.282     0.538    30.287       nan       nan     3.142      1.24  -124477.3     747.8    +-
   B3b    -8.285   -28.252    29.441       nan       nan     2.053      0.78  -123435.1    1790.0    +-
   B3b     0.926    -1.104     1.441       nan       nan     0.110     -2.39  -112817.7   12407.4    --
   B3b    21.826    42.394    47.682       nan       nan     7.614      2.20  -145999.3  -20774.1    ++
   B3a   -27.914   -19.847    34.251       nan       nan     7.065      2.12  -126525.0   -1299.9    ++
   B3a   -30.737     1.675    30.783       nan       nan     2.798      1.12  -125474.9    -249.7    +-
   B3a    -8.435   -29.135    30.331       nan       nan     1.862      0.67  -124378.5     846.6    +-
   B3a     1.104    -1.032     1.511       nan       nan     0.107     -2.42  -112981.1   12244.1    --
   B3a    19.537    42.893    47.133       nan       nan     9.232      2.41  -144792.2  -19567.0    ++
   B3a    23.245   -29.778    37.776       nan       nan    16.886      3.07  -126427.4   -1202.2    ++
   B3a    27.371   -25.343    37.303       nan       nan    10.711      2.57  -126396.0   -1170.8    +-
   B2b   -28.949   -13.854    32.093       nan       nan     9.010      2.39  -124436.5       0.0    ++
   B2b   -30.320    -0.924    30.334       nan       nan     4.060      1.52  -124074.4     362.1    +-
   B2b    -7.784   -27.794    28.864       nan       nan     2.326      0.92  -122517.5    1919.0    +-
   B2b     0.900    -1.242     1.534       nan       nan     0.115     -2.35  -112634.1   11802.4    --
   B2b    21.492    43.211    48.260       nan       nan     6.983      2.11  -147065.3  -22628.8    ++
   B2a   -29.959   -13.619    32.909       nan       nan     8.017      2.26  -125373.8    -937.3    ++
   B2a   -30.885    -0.412    30.888       nan       nan     3.813      1.45  -124985.6    -549.1    +-
   B2a    -7.432   -28.584    29.534       nan       nan     2.830      1.13  -122939.4    1497.1    +-
   B2a     1.093    -1.252     1.662       nan       nan     0.114     -2.36  -112713.0   11723.5    --
   B2a    18.658    44.234    48.008       nan       nan     9.015      2.39  -146445.0  -22008.4    ++
   B1b   -29.993    -0.321    29.995       nan       nan     3.533      1.37  -123813.5       0.0    +-
   B1b   -26.248   -18.575    32.156       nan       nan     8.408      2.31  -124373.7    -560.1    ++
   B1b    -8.264   -27.663    28.871       nan       nan     2.174      0.84  -122789.4    1024.1    +-
   B1b     0.811    -1.160     1.416       nan       nan     0.113     -2.37  -112690.1   11123.4    --
   B1b    23.002    42.199    48.061       nan       nan     7.210      2.14  -146830.8  -23017.2    ++
   B1a   -29.782     1.799    29.837       nan       nan     2.797      1.12  -124176.8    -363.3    +-
   B1a   -25.780   -21.098    33.313       nan       nan     6.165      1.97  -125575.9   -1762.3    ++
   B1a    -9.129   -28.325    29.760       nan       nan     1.789      0.63  -124233.6    -420.0    +-
   B1a     0.799    -0.921     1.219       nan       nan     0.105     -2.45  -112962.6   10851.0    --
   B1a    24.736    40.052    47.075       nan       nan     8.026      2.26  -145223.9  -21410.3    ++
  10.3   -26.239    18.493    32.101       nan       nan     3.601      1.39  -122788.8       0.0    +-
  10.3     0.812     0.895     1.208       nan       nan     0.028     -3.88  -113439.3    9349.6    --
  10.3    11.450   -49.732    51.033       nan       nan     5.693      1.89  -144196.2  -21407.4    ++
  10.3    44.001    -8.962    44.905       nan       nan    10.474      2.55  -135591.3  -12802.5    +-
  10.2   -30.538    22.818    38.122       nan       nan     6.208      1.98  -127305.9   -4517.1    +-
  10.2   -24.222   -46.097    52.073       nan       nan     4.645      1.67  -144801.5  -22012.6    ++
  10.2    -4.374    40.599    40.834       nan       nan     8.437      2.32  -129859.8   -7071.0    ++
  10.2     1.240     0.767     1.458       nan       nan     0.060     -3.05  -113479.5    9309.3    --
  10.2    25.894    27.889    38.056       nan       nan     7.743      2.22  -130341.5   -7552.7    ++
  10.2    40.020    -4.633    40.287       nan       nan    31.006      3.73  -129818.7   -7029.9    +-
  10.2    40.391    -2.279    40.456       nan       nan    39.026      3.98  -129820.9   -7032.1    ++
  10.1   -30.153    17.136    34.682       nan       nan     3.219      1.27  -125726.9   -2938.1    +-
  10.1    -6.225   -49.124    49.517       nan       nan     4.944      1.74  -139749.4  -16960.6    +-
  10.1     0.952     0.584     1.117       nan       nan     0.045     -3.37  -113698.1    9090.7    --
  10.1     9.667   -48.045    49.008       nan       nan     8.482      2.32  -139918.8  -17130.0    ++
  10.1    39.344   -16.097    42.509       nan       nan    11.311      2.63  -133028.3  -10239.5    +-
  10.1    35.612    23.800    42.833       nan       nan    10.108      2.51  -135183.7  -12394.8    ++
  7.2d   -28.847    16.239    33.104       nan       nan     7.507      2.19  -124626.2       0.0    +-
  7.2d     0.801     0.548     0.970       nan       nan     0.047     -3.32  -113668.2   10958.0    --
  7.2d    13.455   -46.555    48.460       nan       nan     5.033      1.75  -139878.2  -15252.0    ++
  7.2d    39.180   -19.162    43.614       nan       nan     6.681      2.06  -134397.3   -9771.1    +-
  7.2d    37.226    23.170    43.848       nan       nan     7.396      2.17  -136843.2  -12217.0    ++
  7.2c   -27.512    15.872    31.763       nan       nan     5.153      1.78  -123724.1     902.1    +-
  7.2c     0.698     0.590     0.914       nan       nan     0.048     -3.30  -113609.7   11016.5    --
  7.2c    14.827   -46.452    48.761       nan       nan     4.634      1.66  -140599.4  -15973.2    ++
  7.2c    39.764   -20.180    44.591       nan       nan     9.335      2.43  -135463.5  -10837.3    +-
  7.2c    38.661    21.528    44.250       nan       nan     6.539      2.04  -137463.9  -12837.7    ++
  7.2b   -30.043    15.186    33.663       nan       nan     4.861      1.72  -125745.7   -1119.5    +-
  7.2b     0.906     0.418     0.998       nan       nan     0.055     -3.16  -113721.9   10904.3    --
  7.2b    12.380   -46.150    47.782       nan       nan     5.668      1.88  -138520.7  -13894.5    ++
  7.2b    30.697    30.341    43.161       nan       nan     8.725      2.35  -136732.7  -12106.6    ++
  7.2b    37.970   -18.992    42.455       nan       nan     3.932      1.49  -133110.8   -8484.6    +-
  7.2a   -31.855    18.686    36.932       nan       nan     3.575      1.38  -127988.6   -3362.4    +-
  7.2a   -24.561   -43.761    50.182       nan       nan     5.492      1.85  -141594.0  -16967.8    ++
  7.2a     1.295     0.484     1.382       nan       nan     0.074     -2.83  -113660.6   10965.6    --
  7.2a    -1.853    42.245    42.286       nan       nan     7.816      2.23  -132479.4   -7853.2    ++
  7.2a    25.470    31.006    40.126       nan       nan     7.083      2.13  -132881.7   -8255.5    ++
  7.2a    38.197   -12.366    40.149       nan       nan     6.622      2.05  -130275.3   -5649.1    +-
   8.2   -23.953    10.249    26.054       nan       nan     2.853      1.14  -118113.3       0.0    +-
   8.2    -0.778     0.569     0.964       nan       nan     0.101     -2.49  -112600.6    5512.7    --
   8.2    30.479   -41.162    51.218       nan       nan     6.436      2.02  -144803.6  -26690.3    ++
   8.2    42.832   -29.337    51.916       nan       nan     5.345      1.82  -144255.1  -26141.9    +-
   8.2    51.595     6.512    52.004       nan       nan     6.041      1.95  -147366.6  -29253.3    ++
   8.1   -20.945    19.028    28.297       nan       nan     3.571      1.38  -117896.6     216.7    +-
   8.1     0.106     1.364     1.368       nan       nan     0.086     -2.66  -112557.5    5555.8    --
   8.1    17.036   -52.801    55.482       nan       nan     6.566      2.04  -152365.6  -34252.3    ++
   4.3   -25.654     9.064    27.208       nan       nan     2.581      1.03  -118704.7       0.0    +-
   4.3    -0.791     0.381     0.878       nan       nan     0.093     -2.58  -112534.0    6170.6    --
   4.3    34.211   -38.966    51.853       nan       nan    10.049      2.51  -144936.2  -26231.5    ++
   4.3    39.990   -33.222    51.990       nan       nan     5.437      1.84  -144856.5  -26151.9    +-
   4.3    49.494    18.512    52.843       nan       nan    10.869      2.59  -149813.2  -31108.5    ++
   4.1   -16.397    10.433    19.434       nan       nan     2.035      0.77  -112557.8    6146.9    +-
   4.1    -2.804     1.933     3.406       nan       nan     0.192     -1.79  -110687.3    8017.3    --
   4.1    31.463   -49.971    59.051       nan       nan     3.967      1.50  -157671.2  -38966.5    ++
