#REFERENCE 3 47.2332780 26.7604950
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
   1.3   -16.541     1.717    16.630       nan       nan     6.578      2.05  -114002.0       0.0    +-
   1.3    -1.697     0.016     1.697       nan       nan     0.262     -1.46  -112141.6    1860.4    --
   1.3    35.320    19.760    40.472       nan       nan     3.917      1.48  -139898.3  -25896.3    ++
   1.2    38.902    22.696    45.038       nan       nan     3.488      1.36  -147153.0  -33151.0    ++
   1.1   -16.050    -0.706    16.065       nan       nan     2.855      1.14  -113788.6     213.4    +-
   1.1    -1.596    -0.471     1.664       nan       nan     0.268     -1.43  -111901.9    2100.1    --
   1.1    34.555    23.081    41.555       nan       nan     4.451      1.62  -141485.6  -27483.6    ++
   3.2    -9.632    45.449    46.459       nan       nan     3.420      1.34  -145379.5       0.0    ++
   3.2     3.283    -2.442     4.092       nan       nan     0.169     -1.93  -111043.2   34336.3    --
   3.2    15.612   -14.620    21.389       nan       nan     2.881      1.15  -113302.0   32077.5    +-
   3.1   -15.317    42.973    45.621       nan       nan     3.824      1.46  -143234.3    2145.2    ++
   3.1     3.786    -1.938     4.253       nan       nan     0.128     -2.23  -111057.7   34321.7    --
   3.1    14.206   -11.157    18.064       nan       nan     1.656      0.55  -113053.9   32325.5    +-
   K2c   -23.190   -30.916    38.647       nan       nan     6.594      2.05  -133153.1       0.0    ++
   K2c   -24.468    15.995    29.232       nan       nan     4.558      1.65  -123693.9    9459.2    +-
   K2c   -16.221   -36.719    40.142       nan       nan     2.221      0.87  -132855.7     297.4    +-
   K2c    -5.982   -39.654    40.103       nan       nan    10.749      2.58  -133215.1     -61.9    ++
   K2c     1.051   -38.340    38.354       nan       nan     5.676      1.89  -133112.0      41.1    +-
   K2c     1.035     0.430     1.121       nan       nan     0.076     -2.80  -113736.5   19416.7    --
   K2c     9.529   -38.787    39.940       nan       nan     8.281      2.30  -133266.2    -113.1    ++
   K2c    24.717    26.048    35.909       nan       nan     6.143      1.97  -131643.6    1509.5    ++
   K2b   -24.410   -32.019    40.262       nan       nan     6.080      1.96  -135217.6   -2064.4    ++
   K2b   -24.668    18.522    30.848       nan       nan     5.587      1.87  -124366.6    8786.6    +-
   K2b   -17.336   -39.895    43.499       nan       nan     2.610      1.04  -134738.5   -1585.4    +-
   K2b   -11.334   -40.617    42.169       nan       nan    12.226      2.72  -134819.8   -1666.7    ++
   K2b     1.218     0.501     1.318       nan       nan     0.089     -2.62  -113690.1   19463.0    --
   K2b    23.115    25.544    34.450       nan       nan     6.433      2.02  -129781.0    3372.1    ++
   K2b    32.916   -11.542    34.881       nan       nan     7.836      2.24  -127089.9    6063.3    +-
   K2a   -23.459   -32.547    40.120       nan       nan     7.030      2.12  -134611.7   -1458.5    ++
   K2a   -24.097    17.871    30.000       nan       nan     5.302      1.81  -123736.6    9416.6    +-
   K2a   -16.599   -37.472    40.983       nan       nan     1.815      0.65  -134319.2   -1166.1    +-
   K2a    -8.476   -40.727    41.600       nan       nan     9.557      2.45  -134568.5   -1415.3    ++
   K2a     2.729   -39.115    39.210       nan       nan     6.699      2.06  -134217.3   -1064.1    +-
   K2a     1.085     0.566     1.224       nan       nan     0.070     -2.88  -113703.0   19450.1    --
   K2a     6.915   -39.696    40.293       nan       nan    10.465      2.55  -134247.7   -1094.6    ++
   K2a    24.377    24.908    34.851       nan       nan     6.673      2.06  -130352.6    2800.5    ++
   K1c   -22.788   -30.243    37.867       nan       nan     6.634      2.05  -132339.3       0.0    ++
   K1c   -24.568    14.962    28.765       nan       nan     4.666      1.67  -123483.6    8855.7    +-
   K1c   -16.148   -36.202    39.641       nan       nan     2.418      0.96  -132073.3     266.1    +-
   K1c    -3.473   -38.803    38.958       nan       nan    19.839      3.24  -132580.1    -240.8    ++
   K1c    -0.877   -38.239    38.249       nan       nan    14.194      2.88  -132574.0    -234.7    +-
   K1c     0.977     0.375     1.046       nan       nan     0.076     -2.79  -113738.7   18600.7    --
   K1c    11.086   -38.287    39.860       nan       nan     6.638      2.06  -132890.0    -550.7    ++
   K1b   -24.092   -30.701    39.025       nan       nan     5.833      1.91  -133880.3   -1541.0    ++
