#REFERENCE 3 47.2332780 26.7604950
1	-2.500000	-62.197459	3.883541	-13.010433	
1	-2.483628	-62.187500	3.882411	-13.007303	
2	-2.483628	-62.187500	3.882411	-13.007303	
2	-2.421875	-62.145022	3.877068	-12.993744	
3	-2.421875	-62.145022	3.877068	-12.993744	
3	-2.383535	-62.109375	3.871297	-12.980570	
4	-2.383535	-62.109375	3.871297	-12.980570	
4	-2.343750	-62.057816	3.861086	-12.959615	
5	-2.343750	-62.057816	3.861086	-12.959615	
5	-2.326724	-62.031250	3.855437	-12.948966	
6	-2.326724	-62.031250	3.855437	-12.948966	
6	-2.299447	-61.953125	3.835289	-12.914898	
7	-2.299447	-61.953125	3.835289	-12.914898	
7	-2.298189	-61.875000	3.810558	-12.879229	
8	-2.369801	-61.718750	3.746090	-12.808614	
8	-2.343750	-61.764963	3.765805	-12.827176	
9	-2.298189	-61.875000	3.810558	-12.879229	
9	-2.321910	-61.796875	3.780830	-12.843067	
10	-2.343750	-61.764963	3.765805	-12.827176	
10	-2.321910	-61.796875	3.780830	-12.843067	
11	-2.444961	-61.640625	3.706076	-12.779000	
11	-2.421875	-61.665834	3.718191	-12.786779	
12	-2.421875	-61.665834	3.718191	-12.786779	
12	-2.369801	-61.718750	3.746090	-12.808614	
13	-2.500000	-61.596070	3.681912	-12.767016	
13	-2.444961	-61.640625	3.706076	-12.779000	
14	-3.125000	-62.123478	3.869014	-12.841628	
14	-3.138000	-62.109375	3.869166	-12.829351	
15	-3.138000	-62.109375	3.869166	-12.829351	
15	-3.198818	-62.031250	3.872599	-12.765410	
16	-3.203125	-62.024082	3.873120	-12.759853	
16	-3.239790	-61.953125	3.880008	-12.707966	
17	-3.203125	-62.024082	3.873120	-12.759853	
17	-3.198818	-62.031250	3.872599	-12.765410	
18	-3.239790	-61.953125	3.880008	-12.707966	
18	-3.263601	-61.875000	3.891177	-12.657401	
19	-2.890625	-62.250627	3.877394	-12.972435	
19	-2.812500	-62.262084	3.880899	-12.994201	
20	-2.968750	-62.226295	3.873652	-12.941623	
20	-2.890625	-62.250627	3.877394	-12.972435	
21	-2.968750	-62.226295	3.873652	-12.941623	
