#REFERENCE 3 47.2332780 26.7604950
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
   I1b    -0.007     0.030     0.030     0.954     3.169     0.000     -8.84  -28947.6   19624.1    --
   I1b   -24.527    15.811    29.181     0.702     0.986     6.135      1.97  -38038.4   10533.3    +-
   I1b    32.334   -13.838    35.171     0.000     0.000    10.344      2.54  -45849.2    2722.5    +-
   I1a    32.525   -13.401    35.178     0.998    16.268    11.344      2.64  -45831.9    2739.8    +-
   I1a    32.662    22.822    39.845     0.996    10.613    11.156      2.62  -47171.6    1400.0    ++
   I1a    30.687    25.749    40.058     0.989     6.741    12.946      2.78  -47154.9    1416.8    ++
   I1a   -24.411    16.020    29.198     0.988     6.286     6.152      1.97  -38033.9   10537.8    +-
   I1a    30.978    24.944    39.772     0.971     4.036     4.529      1.64  -47153.2    1418.5    +-
   I1a    -0.007     0.031     0.031     0.965     3.681     0.000     -8.81  -28945.2   19626.4    --
   I1a    -5.940   -40.694    41.126     0.000     0.000     9.465      2.44  -48808.7    -237.0    ++
   3.2   -11.605    44.783    46.263     0.919     2.328     5.548      1.86  -60233.4       0.0    ++
   3.2     2.758    -2.614     3.800     0.674     0.912     0.520     -0.71  -26929.9   33303.5    --
   3.2    15.612   -14.620    21.389     0.000     0.000     3.607      1.39  -28742.7   31490.7    +-
   3.1     3.109    -2.468     3.969     0.984     5.544     0.515     -0.72  -26807.8   33425.6    --
   3.1    16.035   -13.338    20.857     0.956     3.267     3.410      1.33  -28427.4   31806.0    +-
   3.1   -15.317    42.973    45.621     0.000     0.000     6.236      1.99  -59648.8     584.6    ++
   K2b    -0.616     8.728     8.750     0.981     5.104     1.659      0.55  -23608.9       0.0    --
   K2b    -3.810    20.822    21.168     0.877     1.829     5.435      1.84  -24176.1    -567.3    +-
   K2b   -11.488   -59.278    60.381     0.000     0.000     3.767      1.44  -77989.8  -54380.9    ++
   K2a   -10.077   -59.215    60.066     0.906     2.137     4.049      1.52  -77685.5  -54076.6    ++
   K2a    -0.906     8.753     8.800     0.705     0.993     1.672      0.56  -23601.7       7.1    --
   K2a    -4.449    20.311    20.793     0.000     0.000     5.219      1.79  -24115.7    -506.8    +-
   K1b    -0.383     7.694     7.704     0.983     5.388     1.416      0.38  -24047.5       0.0    --
   K1b    -3.984    22.023    22.381     0.825     1.457     5.400      1.83  -24921.1    -873.7    +-
   K1b   -12.234   -58.802    60.062     0.000     0.000     3.805      1.45  -77187.9  -53140.4    ++
   K1a   -10.857   -58.760    59.755     0.854     1.641     4.008      1.51  -76861.4  -52814.0    ++
   K1a    -0.635     7.709     7.735     0.821     1.439     1.429      0.39  -24056.8      -9.3    --
   K1a    -4.706    21.535    22.043     0.000     0.000     5.178      1.79  -24878.0    -830.5    +-
   8.3    38.055    22.653    44.287     0.990     6.859    11.422      2.64  -50702.9       0.0    ++
   8.3    -8.172   -47.035    47.740     0.982     5.175     7.579      2.20  -54922.6   -4219.6    ++
   8.3    38.501   -10.478    39.902     0.903     2.107    13.111      2.79  -49938.7     764.2    +-
   8.3    -0.012     0.051     0.053     0.830     1.488     0.001     -8.21  -28805.7   21897.2    --
   8.3   -26.239    18.493    32.101     0.000     0.000     5.240      1.80  -39011.8   11691.1    +-
   8.2    -9.712   -47.458    48.442     1.000    39.538     7.090      2.13  -55898.7   -5195.8    ++
   8.2    38.437    20.289    43.463     0.999    24.710    13.047      2.79  -49720.1     982.8    ++
   8.2   -25.302    20.243    32.404     0.986     5.858     5.873      1.92  -38992.4   11710.5    +-
   8.2    -0.008     0.065     0.065     0.985     5.729     0.001     -7.82  -28773.3   21929.6    --
   8.2    40.020    -4.633    40.287     0.000     0.000    24.226      3.46  -49485.9    1217.0    +-
   8.1    40.489    13.792    42.774     1.000    34.299    31.146      3.73  -49631.7    1071.3    ++
   8.1    41.035    11.778    42.692     0.999    20.186    17.878      3.13  -49629.7    1073.3    +-
   8.1    -0.014     0.091     0.092     0.987     6.201     0.002     -7.05  -28671.1   22031.9    --
   8.1   -24.149    20.891    31.932     0.977     4.607     5.633      1.88  -38139.8   12563.1    +-
   8.1    -8.409   -48.146    48.875     0.000     0.000     6.877      2.09  -56831.7   -6128.8    ++
  7.2d    38.944    -7.703    39.699     0.998    18.092    13.087      2.79  -49155.6       0.0    +-
  7.2d   -10.709   -47.064    48.267     0.997    13.379     7.257      2.15  -55419.9   -6264.3    ++
  7.2d   -25.978    19.903    32.726     0.994     9.336     6.171      1.98  -39525.3    9630.4    +-
  7.2d    -0.005     0.054     0.054     0.936     2.661     0.001     -8.18  -28827.3   20328.3    --
  7.2d    37.226    23.170    43.848     0.000     0.000    12.547      2.75  -49780.3    -624.6    ++
  7.2c    -4.200   -46.155    46.346     0.989     6.834    10.712      2.57  -53157.5   -4001.8    ++
  7.2c    37.424    26.300    45.741     0.989     6.813     9.671      2.46  -52618.2   -3462.6    ++
  7.2c    -0.018     0.034     0.039     0.844     1.571     0.000     -8.67  -28838.0   20317.7    --
  7.2c    35.238   -18.294    39.704     0.618     0.787     7.965      2.25  -50438.1   -1282.5    +-
  7.2c   -27.512    15.872    31.763     0.000     0.000     5.073      1.76  -38946.5   10209.1    +-
  7.2b    38.956   -10.193    40.268     0.999    26.440    14.090      2.87  -50478.3   -1322.7    +-
  7.2b    39.030    20.930    44.288     0.998    17.366    11.446      2.65  -51040.9   -1885.3    ++
  7.2b   -25.932    18.261    31.716     0.984     5.508     4.882      1.72  -38518.5   10637.2    +-
  7.2b    -0.017     0.057     0.059     0.984     5.489     0.001     -7.97  -28760.4   20395.3    --
  7.2b    -6.580   -47.232    47.688     0.000     0.000     9.162      2.41  -55096.7   -5941.1    ++
  7.2a    -5.849   -46.996    47.359     1.000    39.466    13.785      2.85  -54695.7   -5540.0    ++
  7.2a    38.776    22.051    44.607     0.999    18.301    10.854      2.59  -51392.1   -2236.4    ++
  7.2a    -0.018     0.051     0.054     0.984     5.598     0.001     -8.13  -28776.0   20379.7    --
  7.2a   -26.247    17.696    31.655     0.912     2.223     4.293      1.58  -38577.2   10578.5    +-
  7.2a    38.197   -12.366    40.149     0.000     0.000    13.425      2.82  -50556.2   -1400.6    +-
   6.3    28.687   -42.793    51.519     0.994     8.931     7.231      2.15  -68718.3       0.0    ++
   6.3    -6.163     4.937     7.897     0.514     0.600     1.850      0.67  -24412.8   44305.6    --
   6.3   -13.555    10.073    16.888     0.000     0.000     3.705      1.42  -24636.3   44082.0    +-
   6.2    27.543   -43.678    51.637     0.998    14.607     7.069      2.12  -68672.4      45.9    ++
   6.2   -13.727    10.455    17.255     0.541     0.643     3.534      1.37  -24790.8   43927.5    +-
   6.2    -5.844     4.838     7.587     0.000     0.000     1.669      0.56  -24513.6   44204.8    --
   6.1    -6.136     4.886     7.843     0.998    15.784     1.819      0.65  -24432.2   44286.1    --
   6.1   -13.625    10.063    16.939     0.994     8.896     3.689      1.42  -24663.1   44055.2    +-
   6.1    28.859   -42.606    51.460     0.000     0.000     7.277      2.15  -68654.5      63.8    ++
  12.2     0.238     2.023     2.037     0.973     4.189     0.170     -1.93  -27299.4       0.0    --
  12.2   -13.132    29.784    32.550     0.930     2.538     9.760      2.47  -34343.1   -7043.7    +-
  12.2   -16.551   -55.958    58.355     0.000     0.000     4.094      1.53  -70523.4  -43224.0    ++
  12.1     0.202     1.869     1.880     0.970     3.980     0.158     -2.00  -27399.5    -100.1    --
  12.1   -16.211   -55.737    58.047     0.937     2.693     4.175      1.55  -69950.7  -42651.3    ++
  12.1   -14.295    29.268    32.572     0.000     0.000     8.983      2.38  -34631.3   -7331.9    +-
   D1c    31.326   -42.027    52.418     0.998    15.101     8.357      2.31  -69539.8       0.0    ++
   D1c   -16.331    10.979    19.678     0.613     0.776     3.219      1.27  -25422.6   44117.3    +-
   D1c    -5.111     3.722     6.323     0.000     0.000     0.969     -0.03  -24747.2   44792.7    --
   D1b    -5.133     3.469     6.195     0.999    19.261     0.936     -0.07  -24813.0   44726.8    --
